fromNode	toNode	weight	direction	fromAltName	toAltName
79647	1031	0.175003996989438	undirected	AKIRIN1	CDKN2C
55707	84938	0.173986462915162	undirected	NECAP2	ATG4C
6421	84938	0.178876839436785	undirected	SFPQ	ATG4C
79753	84938	0.184712343090492	undirected	SNIP1	ATG4C
5226	205	0.171941834145746	undirected	PGD	AK4
164091	205	0.181870935137383	undirected	PAQR7	AK4
4774	205	0.194772719007259	undirected	NFIA	AK4
84938	5142	0.17369238973324	undirected	ATG4C	PDE4B
205	5876	0.170710329075993	undirected	AK4	RABGGTB
79699	23032	0.17445430324988	undirected	ZYG11B	USP33
84938	284695	0.17008379220936	undirected	ATG4C	ZNF326
80176	30836	0.176117543497008	undirected	SPSB1	DNTTIP2
10691	30836	0.183129571597334	undirected	GMEB1	DNTTIP2
149076	30836	0.180273184751029	undirected	ZNF362	DNTTIP2
11080	30836	0.175099479856515	undirected	DNAJB4	DNTTIP2
79699	163786	0.171391421227992	undirected	ZYG11B	SASS6
51118	5686	0.174313439286927	undirected	UTP11	PSMA5
79647	1435	0.178800461639925	undirected	AKIRIN1	CSF1
79647	10768	0.185597803376468	undirected	AKIRIN1	AHCYL1
84938	10390	0.183374423534601	undirected	ATG4C	CEPT1
79647	140	0.201928020211033	undirected	AKIRIN1	ADORA3
79647	476	0.187139237325142	undirected	AKIRIN1	ATP1A1
205	5738	0.178208168357519	undirected	AK4	PTGFRN
79647	90874	0.1943878612875	undirected	AKIRIN1	ZNF697
84065	9939	0.181824117841163	undirected	TMEM222	RBM8A
84938	51027	0.18381702698157	undirected	ATG4C	BOLA1
30836	51027	0.18073919852422	undirected	DNTTIP2	BOLA1
643837	8394	0.17161935509686	undirected	LINC01128	PIP5K1A
9129	8394	0.177395917885981	undirected	PRPF3	PIP5K1A
84938	81609	0.173590387221352	undirected	ATG4C	SNX27
8668	3608	0.182952068524849	undirected	EIF3I	ILF2
54936	3608	0.174656575684233	undirected	ADPRS	ILF2
79693	3608	0.172889605209785	undirected	YRDC	ILF2
79647	3608	0.176380927439751	undirected	AKIRIN1	ILF2
148423	3608	0.175887126021229	undirected	C1orf52	ILF2
26097	3608	0.177593197721439	undirected	CHTOP	ILF2
30836	1945	0.185262292472614	undirected	DNTTIP2	EFNA4
3608	6746	0.179876339720363	undirected	ILF2	SSR2
84938	9673	0.171549022745809	undirected	ATG4C	SLC25A44
205	3068	0.170473199043898	undirected	AK4	HDGF
30836	27005	0.183170144176356	undirected	DNTTIP2	USP21
79699	6675	0.172113075017783	undirected	ZYG11B	UAP1
3608	261726	0.188320554842944	undirected	ILF2	TIPRL
79647	100302401	0.171510628261591	undirected	AKIRIN1	RASAL2-AS1
3716	27	0.171617750989471	undirected	JAK1	ABL2
30836	27	0.181600478553422	undirected	DNTTIP2	ABL2
27005	27	0.178396386192349	undirected	USP21	ABL2
84938	5743	0.184612125678107	undirected	ATG4C	PTGS2
30836	5743	0.172502446581256	undirected	DNTTIP2	PTGS2
9903	84919	0.170037703854706	undirected	KLHL21	PPP1R15B
80176	84919	0.186069621992189	undirected	SPSB1	PPP1R15B
100506022	84919	0.171420523345108	undirected	LINC02606	PPP1R15B
7709	84919	0.176585286499235	undirected	ZBTB17	PPP1R15B
55707	84919	0.20801431850386	undirected	NECAP2	PPP1R15B
55629	84919	0.208850682683764	undirected	PNRC2	PPP1R15B
54707	84919	0.185604086075636	undirected	GPN2	PPP1R15B
115273	84919	0.175769629819765	undirected	RAB42	PPP1R15B
10691	84919	0.20065235682445	undirected	GMEB1	PPP1R15B
149076	84919	0.182752514046549	undirected	ZNF362	PPP1R15B
6421	84919	0.206475356771979	undirected	SFPQ	PPP1R15B
79753	84919	0.192805113165546	undirected	SNIP1	PPP1R15B
339559	84919	0.184384623029819	undirected	ZFP69	PPP1R15B
84950	84919	0.170106574798987	undirected	PRPF38A	PPP1R15B
84938	84919	0.21473286498287	undirected	ATG4C	PPP1R15B
5142	84919	0.197238755472464	undirected	PDE4B	PPP1R15B
8790	84919	0.181565878358013	undirected	FPGT	PPP1R15B
11080	84919	0.193735296858089	undirected	DNAJB4	PPP1R15B
